Timestamp,Exchange,Pair,Bid,Ask,Last,Spread,Volume,Change,PricePerUSD
2025-08-05T22:56:28.362Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T22:56:29.066Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:56:29.258Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:56:29.458Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:56:29.660Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:56:56.525Z,RAPIRA,USDT/RUB,80.95623328383952,80.99,,0.04170984097306296,,,
2025-08-05T22:56:57.482Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T22:56:58.701Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T22:56:59.241Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:56:59.432Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:56:59.624Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:56:59.816Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:57:26.518Z,RAPIRA,USDT/RUB,80.95762239366198,80.99,,0.039993277199493624,,,
2025-08-05T22:57:27.507Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T22:57:28.422Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T22:57:28.978Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:57:29.172Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:57:29.373Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:57:29.565Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:57:56.552Z,RAPIRA,USDT/RUB,80.95753347366198,80.99,,0.04010315648830259,,,
2025-08-05T22:57:57.555Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T22:57:58.577Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T22:57:59.112Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:57:59.305Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:57:59.500Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:57:59.693Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:58:26.542Z,RAPIRA,USDT/RUB,80.95753347366198,80.99,,0.04010315648830259,,,
2025-08-05T22:58:27.490Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T22:58:28.493Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T22:58:29.033Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:58:29.224Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:58:29.414Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:58:29.601Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:58:56.586Z,RAPIRA,USDT/RUB,80.95753347366198,80.99,,0.04010315648830259,,,
2025-08-05T22:58:57.541Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T22:58:58.391Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T22:58:58.934Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:58:59.137Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:58:59.330Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:58:59.524Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:59:26.533Z,RAPIRA,USDT/RUB,80.95753347366198,80.989505,,0.039491724816953754,,,
2025-08-05T22:59:27.408Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T22:59:28.356Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T22:59:28.890Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:59:29.081Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:59:29.274Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:59:29.465Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T22:59:56.513Z,RAPIRA,USDT/RUB,80.95725587366199,80.989505,,0.03983475723081329,,,
2025-08-05T22:59:57.510Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T22:59:58.461Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T22:59:59.011Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T22:59:59.202Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T22:59:59.397Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T22:59:59.592Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:00:26.530Z,RAPIRA,USDT/RUB,80.95725587366199,80.989505,,0.03983475723081329,,,
2025-08-05T23:00:27.580Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T23:00:28.546Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T23:00:29.076Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T23:00:29.268Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T23:00:29.458Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T23:00:29.650Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:00:56.538Z,RAPIRA,USDT/RUB,80.95707058338606,80.989505,,0.040063723131546304,,,
2025-08-05T23:00:57.394Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T23:00:58.387Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T23:00:58.925Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
